  Wavelength(um)        Flux(Jy)
       444.05054       59.831570
       443.85344       59.862158
       443.65653       59.940245
       443.45978       60.058474
       443.26321       60.184811
       443.06682       60.279219
       442.87060       60.316590
       442.67455       60.300258
       442.47868       60.259688
       442.28298       60.233890
       442.08745       60.250346
       441.89209       60.311743
       441.69691       60.397852
       441.50190       60.480695
       441.30706       60.543192
       441.11240       60.589552
       440.91790       60.641076
       440.72358       60.720276
       440.52943       60.833782
       440.33545       60.965421
       440.14164       61.084574
       439.94800       61.165058
       439.75453       61.202410
       439.56123       61.217652
       439.36811       61.247685
       439.17515       61.319736
       438.98236       61.433537
       438.78974       61.559829
       438.59728       61.658108
       438.40500       61.704059
       438.21289       61.709457
       438.02094       61.720322
       437.82916       61.791655
       437.63755       61.952139
       437.44611       62.180440
       437.25484       62.410113
       437.06373       62.564020
       436.87279       62.600266
       436.68201       62.541712
       436.49140       62.467502
       436.30096       62.466307
       436.11069       62.575725
       435.92058       62.746202
       435.73064       62.867552
       435.54086       62.844011
       435.35124       62.700546
       435.16180       62.655528
       434.97251       63.106062
       434.78339       64.506925
       434.59444       67.175575
       434.40565       71.100064
       434.21702       75.839900
       434.02856       80.581212
       433.84026       84.346491
       433.65213       86.291686
       433.46416       85.980637
       433.27635       83.529915
       433.08870       79.566509
       432.90122       75.015556
       432.71389       70.802502
       432.52673       67.583825
       432.33974       65.601679
       432.15290       64.709177
       431.96622       64.514722
       431.77971       64.586989
       431.59336       64.621717
       431.40716       64.511906
       431.22113       64.314620
       431.03526       64.154151
       430.84955       64.122330
       430.66400       64.225564
       430.47861       64.394818
       430.29338       64.539130
       430.10830       64.603606
       429.92339       64.597178
       429.73864       64.577947
       429.55404       64.610086
       429.36960       64.721254
       429.18533       64.886073
       429.00120       65.042953
       428.81724       65.130858
       428.63344       65.131687
       428.44979       65.074018
       428.26630       65.016612
       428.08297       65.014048
       427.89979       65.086448
       427.71677       65.211274
       427.53391       65.340641
       427.35120       65.432327
       427.16865       65.475157
       426.98625       65.493761
       426.80402       65.530755
       426.62193       65.618074
       426.44000       65.755396
       426.25823       65.908876
       426.07661       66.030836
       425.89515       66.088411
       425.71384       66.083829
       425.53268       66.053004
       425.35168       66.041452
       425.17084       66.090384
       424.99014       66.201245
       424.80960       66.339451
       424.62922       66.456381
       424.44898       66.518554
       424.26890       66.528102
       424.08898       66.522679
       423.90920       66.554738
       423.72958       66.661892
       423.55011       66.844995
       423.37079       67.066088
       423.19162       67.267068
       423.01261       67.398541
       422.83375       67.443102
       422.65503       67.421051
       422.47647       67.376779
       422.29806       67.354744
       422.11980       67.378302
       421.94169       67.441525
       421.76373       67.528742
       421.58592       67.623062
       421.40826       67.722578
       421.23075       67.842202
       421.05339       68.001324
       420.87618       68.206091
       420.69912       68.437940
       420.52221       68.656408
       420.34544       68.815740
       420.16883       68.886522
       419.99236       68.870324
       419.81604       68.799129
       419.63987       68.719812
       419.46385       68.672176
       419.28797       68.672412
       419.11224       68.710356
       418.93666       68.760903
       418.76123       68.801458
       418.58594       68.824063
       418.41080       68.845231
       418.23580       68.887875
       418.06096       68.967657
       417.88625       69.082839
       417.71170       69.214768
       417.53729       69.339128
       417.36303       69.440820
       417.18891       69.523134
       417.01493       69.605332
       416.84110       69.709866
       416.66742       69.846837
       416.49388       70.005278
       416.32049       70.157029
       416.14724       70.271670
       415.97413       70.334395
       415.80117       70.356654
       415.62835       70.373131
       415.45567       70.425733
       415.28314       70.542154
       415.11075       70.726855
       414.93851       70.954776
       414.76641       71.185164
       414.59445       71.381481
       414.42263       71.527685
       414.25096       71.633277
       414.07942       71.725363
       413.90803       71.832688
       413.73678       71.970326
       413.56568       72.132698
       413.39471       72.297768
       413.22389       72.439437
       413.05320       72.541403
       412.88266       72.605774
       412.71226       72.652893
       412.54200       72.713263
       412.37188       72.815710
       412.20190       72.976628
       412.03206       73.193796
       411.86236       73.448716
       411.69280       73.710424
       411.52338       73.945185
       411.35410       74.127101
       411.18495       74.247120
