  Wavelength(um)          Flux(Jy)         Error(Jy)
         64.5790           105.121           2.06881
         64.5987           107.726           1.23277
         64.6184           106.558           1.98951
         64.6381           105.807           2.28344
         64.6578           105.810           1.32667
         64.6775           106.968           2.06511
         64.6972           106.218           1.91737
         64.7169           105.937           1.68507
         64.7366           106.757           1.86129
         64.7563           105.700           2.00092
         64.7760           105.125           1.60257
         64.7957           107.278           1.71670
         64.8155           105.740           2.08546
         64.8352           105.199           1.82606
         64.8549           105.451           1.54387
         64.8746           105.927           1.86263
         64.8943           104.679           1.81923
         64.9140           106.881           1.98035
         64.9337           107.253           1.43320
         64.9534           106.907           1.92273
         64.9731           104.757           2.31841
         64.9928           106.219           1.51880
         65.0125           104.987           2.09993
         65.0322           106.135           1.97420
         65.0519           107.270           2.02659
         65.0716           107.328           1.98014
         65.0913           106.587           2.34939
         65.1110           106.332           2.10677
         65.1307           109.897           1.76663
         65.1504           108.374           2.33420
         65.1701           107.402           2.21315
         65.1898           108.783           1.98968
         65.2095           107.503           1.98641
         65.2292           106.781           2.42710
         65.2489           106.794           2.56672
         65.2687           109.220           2.11919
         65.2884           109.329           2.38759
         65.3081           108.372           1.52293
         65.3278           107.312           2.24819
         65.3475           106.485           2.33406
         65.3672           107.365           2.39392
         65.3869           107.974           2.35300
         65.4066           108.296           2.24786
         65.4263           108.359           2.87449
         65.4460           109.375           2.38589
         65.4657           110.068           2.01413
         65.4854           109.557           2.56933
         65.5051           109.597           2.22027
         65.5248           108.684           2.27624
         65.5445           108.084           2.97871
         65.5642           109.766           2.64387
         65.5839           110.028           1.99483
         65.6037           109.225           2.22171
         65.6234           110.948           2.57067
         65.6431           112.241           2.20649
         65.6628           114.541           1.90715
         65.6825           114.671           2.30276
         65.7022           113.792           1.89761
         65.7219           113.911           2.38729
         65.7416           110.825           1.98973
         65.7613           110.104           2.27374
         65.7810           112.100           2.42609
         65.8007           111.952           2.05292
         65.8204           109.551           2.46000
         65.8401           111.880           2.20063
         65.8598           110.644           2.06537
         65.8795           110.150           2.59495
         65.8992           113.008           1.95413
         65.9190           112.297           2.14449
         65.9387           112.942           2.13017
         65.9584           113.028           1.84018
         65.9781           113.662           2.50061
         65.9978           111.953           2.02310
         66.0175           112.623           1.99793
         66.0372           113.954           2.31136
         66.0569           113.617           2.19027
         66.0766           112.854           1.89344
         66.0963           114.040           2.27338
         66.1160           116.360           1.79804
         66.1357           113.622           1.90368
         66.1554           114.953           2.15261
         66.1751           115.668           1.77599
         66.1949           112.070           1.76073
         66.2146           113.617           1.98444
         66.2343           115.181           1.80969
         66.2540           114.218           2.09192
         66.2737           113.994           1.62141
         66.2934           114.175           2.29458
         66.3131           115.783           1.86714
         66.3328           115.251           1.76317
         66.3525           114.005           1.74482
         66.3722           116.797           1.80382
         66.3919           113.685           1.80652
         66.4116           114.505           1.88366
         66.4313           117.268           2.29713
         66.4510           113.786           1.75314
         66.4707           115.841           1.67614
         66.4905           116.345           2.16166
         66.5102           113.686           2.35185
         66.5299           113.310           1.91570
         66.5496           114.773           1.77134
         66.5693           118.636           1.68769
         66.5890           115.233           2.41068
         66.6087           115.399           1.95460
         66.6284           115.369           2.13273
         66.6481           115.580           2.35005
         66.6678           115.451           2.02933
         66.6875           113.991           1.49887
         66.7072           116.165           2.00957
         66.7269           115.469           2.08859
         66.7466           116.241           2.41457
         66.7663           116.911           2.34378
         66.7861           115.993           2.69664
         66.8058           117.326           2.47548
         66.8255           116.820           2.38903
         66.8452           113.855           2.15347
         66.8649           117.031           1.76685
         66.8846           117.187           1.95863
         66.9043           116.832           2.71295
         66.9240           118.424           2.00833
         66.9437           117.611           2.36628
         66.9634           117.068           1.92920
         66.9831           118.887           2.31538
         67.0028           116.749           2.16861
         67.0225           119.665           2.10111
         67.0422           117.901           2.41836
         67.0619           117.169           1.60958
         67.0816           120.024           2.34396
         67.1013           117.085           1.92017
         67.1211           118.897           2.22372
         67.1408           117.909           2.79626
         67.1605           117.978           2.23968
         67.1802           118.112           1.58728
         67.1999           118.444           2.22040
         67.2196           117.482           2.84079
         67.2393           119.700           1.82461
         67.2590           118.664           1.79621
         67.2787           120.452           2.61553
         67.2984           120.042           1.88887
         67.3181           120.362           1.92968
         67.3378           123.026           2.07301
         67.3575           122.753           1.85695
         67.3772           122.550           1.89088
         67.3969           121.310           2.16582
         67.4166           122.599           2.32655
         67.4363           121.844           1.79942
         67.4560           119.982           2.08340
         67.4757           123.662           2.16349
         67.4954           120.592           1.71658
         67.5151           120.782           1.62944
         67.5348           122.140           2.25521
         67.5545           121.923           2.43808
         67.5743           121.967           2.05144
         67.5940           121.314           2.58356
         67.6137           123.131           2.06046
         67.6334           123.559           2.05187
         67.6531           122.987           2.17300
         67.6728           122.247           2.22815
         67.6925           122.247           1.69366
         67.7122           124.689           2.02651
         67.7319           124.893           2.00237
         67.7516           122.785           2.08463
         67.7713           125.821           2.38626
         67.7910           124.075           2.23148
         67.8107           124.753           2.08970
         67.8304           123.415           1.91395
         67.8501           126.595           1.78664
         67.8698           124.920           2.07202
         67.8895           123.485           2.34690
         67.9092           126.154           2.24154
         67.9289           124.223           2.36473
         67.9486           124.866           1.64216
         67.9683           125.306           2.15129
         67.9880           124.675           2.39694
         68.0077           124.966           1.78869
         68.0274           126.488           2.15735
         68.0471           127.731           2.45331
         68.0668           125.110           2.34666
         68.0865           126.845           2.30270
         68.1062           125.341           2.05600
         68.1259           125.236           2.16027
         68.1456           125.299           1.99553
         68.1653           126.981           2.84017
         68.1850           127.540           2.16807
         68.2047           127.484           2.43906
         68.2244           128.295           2.59529
         68.2441           125.452           2.21276
         68.2638           128.173           2.22016
         68.2835           128.238           2.39149
         68.3032           128.366           2.65379
         68.3229           125.747           2.47424
         68.3426           129.058           2.32358
         68.3623           129.139           2.32506
         68.3820           125.367           2.55969
         68.4017           128.160           2.26654
         68.4214           126.209           2.29282
         68.4411           124.930           2.13716
         68.4608           127.484           2.20937
         68.4805           125.117           2.21903
         68.5002           127.308           2.44346
         68.5199           127.237           2.97729
         68.5395           127.587           2.03831
         68.5592           126.945           2.31411
         68.5789           125.641           2.39362
         68.5986           126.945           2.21917
         68.6183           127.130           1.83857
         68.6380           126.440           2.35264
         68.6577           127.198           2.26962
         68.6774           126.820           2.90086
         68.6971           127.959           1.82748
         68.7168           128.335           2.07242
         68.7365           127.493           2.31045
         68.7562           126.240           1.81319
         68.7759           127.664           2.14770
         68.7956           126.666           2.26197
         68.8153           126.071           2.12873
         68.8350           129.279           2.21950
         68.8547           129.812           1.88509
         68.8744           128.656           2.36544
         68.8940           128.339           2.16058
         68.9137           127.198           2.20588
         68.9334           127.400           2.24077
         68.9531           127.050           2.06763
         68.9728           124.594           1.38074
         68.9925           128.417           2.48693
         69.0122           129.635           1.66257
         69.0319           131.397           2.24259
         69.0516           131.665           2.27933
         69.0713           133.394           2.01692
         69.0910           131.046           2.27268
         69.1106           128.849           2.36658
         69.1303           129.892           2.12132
         69.1500           128.322           2.16860
         69.1697           128.946           2.18004
         69.1894           129.577           1.53620
         69.2091           128.606           2.29523
         69.2288           128.305           2.42551
         69.2485           129.921           2.18411
         69.2682           130.306           2.01596
         69.2878           131.275           2.22224
         69.3075           131.937           2.23447
         69.3272           131.187           2.53583
         69.3469           132.227           1.67609
         69.3666           130.325           2.16993
         69.3863           131.384           1.44464
         69.4060           130.268           2.23581
         69.4257           131.219           2.32011
         69.4453           132.135           2.47220
         69.4650           132.353           1.97270
         69.4847           130.619           1.56051
         69.5044           132.947           2.41873
         69.5241           133.366           2.01168
         69.5438           130.621           1.88184
         69.5635           131.313           1.58235
         69.5831           133.302           2.00717
         69.6028           131.399           1.88382
         69.6225           133.642           2.16531
         69.6422           133.468           2.25787
         69.6619           131.867           1.60237
         69.6815           134.300           2.40686
         69.7012           129.012           2.08702
         69.7209           129.378           2.08328
         69.7406           132.076           1.79704
         69.7603           131.258           1.61862
         69.7800           132.111           2.51378
         69.7996           132.857           1.84727
         69.8193           132.400           1.81471
         69.8390           133.062           1.94613
         69.8587           130.535           2.11778
         69.8784           130.271           1.75231
         69.8980           130.359           1.92374
         69.9177           133.814           1.75984
         69.9374           133.708           1.60871
         69.9571           131.461           1.92724
