       Wave (um)         Flux (Jy)
         253.101         -0.243065
         253.165         -0.221984
         253.229         -0.232661
         253.293         -0.271230
         253.357         -0.332584
         253.422         -0.402178
         253.486         -0.451693
         253.550         -0.444135
         253.614         -0.348917
         253.679         -0.159743
         253.743         0.0947889
         253.808          0.355812
         253.872          0.554195
         253.936          0.637585
         254.001          0.592394
         254.065          0.449533
         254.130          0.272338
         254.195          0.134033
         254.259         0.0769642
         254.324          0.112091
         254.389          0.216792
         254.453          0.348221
         254.518          0.461596
         254.583          0.523439
         254.648          0.515409
         254.713          0.430882
         254.778          0.270373
         254.842         0.0412457
         254.907         -0.237275
         254.972         -0.528801
         255.037         -0.780595
         255.102         -0.934439
         255.168         -0.945639
         255.233         -0.801654
         255.298         -0.530973
         255.363         -0.195998
         255.428          0.128079
         255.494          0.378875
         255.559          0.525370
         255.624          0.576499
         255.690          0.565892
         255.755          0.533588
         255.820          0.508985
         255.886          0.503055
         255.951          0.511576
         256.017          0.524024
         256.082          0.530803
         256.148          0.523779
         256.214          0.491611
         256.279          0.415595
         256.345          0.272269
         256.411         0.0450534
         256.476         -0.260356
         256.542         -0.605871
         256.608         -0.924759
         256.674          -1.14095
         256.740          -1.19707
         256.806          -1.07846
         256.872         -0.821803
         256.938         -0.505186
         257.004         -0.206414
         257.070         0.0148936
         257.136          0.139799
         257.202          0.191497
         257.268          0.216596
         257.334          0.256806
         257.401          0.323746
         257.467          0.390695
         257.533          0.408304
         257.600          0.340835
         257.666          0.201820
         257.732         0.0624267
         257.799         0.0141023
         257.865          0.106809
         257.932          0.304466
         257.998          0.500955
         258.065          0.590316
         258.132          0.539769
         258.198          0.411006
         258.265          0.312877
         258.332          0.317754
         258.398          0.436371
         258.465          0.588906
         258.532          0.662035
         258.599          0.576821
         258.666          0.330491
         258.733       -0.00699009
         258.800         -0.336289
         258.867         -0.584259
         258.934         -0.739103
         259.001         -0.845947
         259.068         -0.967645
         259.135          -1.13651
         259.202          -1.32760
         259.269          -1.47098
         259.337          -1.49566
         259.404          -1.37606
         259.471          -1.14905
         259.538         -0.885146
         259.606         -0.630096
         259.673         -0.358252
         259.741         0.0143087
         259.808          0.561367
         259.876           1.23057
         259.943           1.81280
         260.011           2.04165
         260.078           1.79605
         260.146           1.23394
         260.214          0.720696
         260.282          0.556735
         260.349          0.729268
         260.417          0.909308
         260.485          0.716871
         260.553         0.0282689
         260.621         -0.930331
         260.689          -1.75125
         260.757          -2.11802
         260.825          -1.97477
         260.893          -1.49827
         260.961         -0.936494
