                Line             LabWL(um)             ObsWL(um)           Sig_Cen(um)            Str(W/cm2)        Sig_str(W/cm2)              FWHM(um)          Sig_FWHM(um)        Base(W/cm2/um)       Noise(W/cm2/um)                   SNR                E_u(K)                A(s-1)                     g               RA(deg)              Dec(deg)                 Blend              Validity
      o-H2O8_36-9_09           116.3528748           116.3486198          0.2995398121      -6.349957226e-22       2.718035817e-21          0.1161840431          -998.0000000       7.017420535e-18       2.691863560e-20          0.1908225252           1447.600000       0.0006314000000                    51           180.3982553          -65.14761521                     x                     1
      o-H2O7_34-6_43           116.7819595           116.8110709         0.07842241171      -2.171336932e-21       2.454905798e-21          0.1163565667          -998.0000000       6.977121977e-18       2.594063978e-20          0.6761047793           1212.000000         0.02475000000                    45           180.3982553          -65.14761521                     x                     1
      p-H2O9_46-8_53           117.6869202           117.6750901         0.03996057648      -5.229405556e-21       2.989672065e-21          0.1167162296          -998.0000000       6.869572209e-18       2.533425196e-20           1.662154373           1939.400000         0.02088000000                    19           180.3982553          -65.14761521                     x                     1
      p-H2O9_37-8_44           118.4082565           118.4959793          -999.0000000       3.497948853e-20       1.314679686e-20          0.1169993003          -998.0000000       6.777696602e-18       9.334557437e-20           3.010196356           1749.900000         0.01724000000                    19           180.3982553          -65.14761521                   Red                     0
             CO22-21           118.5837021           118.5876394        0.003691032704       7.394416427e-20       3.865617628e-21          0.1170676737          -998.0000000       6.772795551e-18       3.430364591e-20           17.30553393           1397.380000        0.001006000000                    45           180.3982553          -65.14761521              Red/Blue                     1
               OH3-1           119.2374039           119.2614003         0.07079957245       1.350513963e-20       1.369990304e-20          0.1173209087          -998.0000000       6.761309752e-18       2.801718430e-20           3.861513356           120.7000000          0.1388000000                     6           180.3982553          -65.14761521                     x                     1
               OH2-0           119.4444962           119.4332271         0.04512700986       2.057290530e-20       1.318741472e-20          0.1174002884          -998.0000000       6.750074779e-18       3.523589306e-20           4.674116662           120.5000000          0.1380000000                     6           180.3982553          -65.14761521                     x                     1
              CH+3-2           119.8546600           119.8205502         0.07817746967      -6.000309919e-21       6.600013741e-21          0.1175575065          -998.0000000       6.721486101e-18       3.441977670e-20           1.393713914           166.9700000          0.2211000000                     7           180.3982553          -65.14761521                     x                     1
      o-H2O4_32-4_23           121.7247696           121.6718451         0.01416911504      -1.690462801e-20       3.394599582e-21          0.1182581758          -998.0000000       6.486436640e-18       2.993354474e-20           4.488225424           550.4000000          0.1229000000                    27           180.3982553          -65.14761521                     x                     1
             NII_122           121.9000015           121.8123856          -999.0000000      -9.393266598e-21       4.395849370e-21          0.1183230216          -998.0000000       6.467419830e-18       2.863515129e-20           2.605591223           188.2800000       7.500000000e-06                     5           180.3982553          -65.14761521                     x                     0
      p-H2O8_44-8_35           122.5251923           122.5655561         0.09714814131      -2.768876534e-21       3.792322765e-21          0.1185507799          -998.0000000       6.339273682e-18       2.291293361e-20          0.9580250093           1628.400000          0.1974000000                    17           180.3982553          -65.14761521                     x                     1
      o-H2O9_36-9_27           123.4635162           123.5213756         0.05330996191      -2.720520938e-21       2.046509948e-21          0.1188883385          -998.0000000       6.240890231e-18       2.191643233e-20          0.9812989269           1845.900000          0.1883000000                    57           180.3982553          -65.14761521                     x                     1
