       Wave (um)         Flux (Jy)  Uncertainty (Jy)
         68.1259          -1.11037           2.16027
         68.1456          -1.20646           1.99553
         68.1653          0.321094           2.84017
         68.1850          0.728840           2.16807
         68.2047          0.545195           2.43906
         68.2244           1.26756           2.59529
         68.2441          -1.65860           2.21276
         68.2638           1.02383           2.22016
         68.2835           1.04951           2.39149
         68.3032           1.14910           2.65379
         68.3229          -1.48919           2.47424
         68.3426           1.82791           2.32358
         68.3623           1.94234           2.32506
         68.3820          -1.78039           2.55969
         68.4017           1.09610           2.26654
         68.4214         -0.784257           2.29282
         68.4411          -2.00407           2.13716
         68.4608          0.604871           2.20937
         68.4805          -1.75058           2.21903
         68.5002          0.459160           2.44346
         68.5199          0.383699           2.97729
         68.5395          0.732422           2.03831
         68.5592         0.0758104           2.31411
         68.5789          -1.23706           2.39362
         68.5986         0.0492468           2.21917
         68.6183          0.177024           1.83857
         68.6380         -0.582598           2.35264
         68.6577         0.0883160           2.26962
         68.6774         -0.385781           2.90086
         68.6971          0.678313           1.82748
         68.7168          0.981207           2.07242
         68.7365         0.0890977           2.31045
         68.7562          -1.19549           1.81319
         68.7759          0.193472           2.14770
         68.7956         -0.869493           2.26197
         68.8153          -1.55682           2.12873
         68.8350           1.57478           2.21950
         68.8547           2.03412           1.88509
         68.8744          0.814106           2.36544
         68.8940          0.454478           2.16058
         68.9137         -0.738067           2.20588
         68.9334         -0.583418           2.24077
         68.9531         -0.999366           2.06763
         68.9728          -3.56273           1.38074
         68.9925          0.148043           2.48693
         69.0122           1.22034           1.66257
         69.0319           2.23023           2.24259
         69.0516         -0.558563           2.27933
         69.0713         -0.129527           2.01692
         69.0910          0.649257           2.27268
         69.1106         -0.206974           2.36658
         69.1303          0.820510           2.12132
         69.1500         -0.906951           2.16860
         69.1697         -0.441428           2.18004
         69.1894         0.0326492           1.53620
         69.2091          -1.10027           2.29523
         69.2288          -1.55494           2.42551
         69.2485         -0.108299           2.18411
         69.2682         0.0959139           2.01596
         69.2878          0.867131           2.22224
         69.3075           1.33694           2.23447
